,region,shapeGroup,shapeType,crop_area_ha,Admin1,Admin2
126,Lower Shyookh,SYR,ADM3,"25,447.97",Aleppo,Ain Al Arab
127,Ain al Arab,SYR,ADM3,"60,554.21",Aleppo,Ain Al Arab
128,Sarin,SYR,ADM3,"106,062.66",Aleppo,Ain Al Arab
129,Menbij,SYR,ADM3,"87,124.56",Aleppo,Menbij
130,Abu Qalqal,36.455836],36.455592],"23,525.21",Aleppo,Menbij
131,Al-Khafsa,SYR,ADM3,"98,690.61",Aleppo,Menbij
132,Maskana,SYR,ADM3,"29,101.60",Aleppo,Menbij
133,As-Suqaylabiyah,SYR,ADM3,"11,465.68",Hama,As-Suqaylabiyah
134,Tell Salhib,35.695249],35.696598],"5,200.91",Hama,As-Suqaylabiyah
135,Ziyara,SYR,ADM3,"13,151.22",Hama,As-Suqaylabiyah
136,Shat-ha,[38.010028,[38.010325,"9,127.23",Hama,As-Suqaylabiyah
137,Madiq Castle,SYR,ADM3,"20,236.23",Hama,As-Suqaylabiyah
138,As-Salamiyeh,SYR,ADM3,"77,479.10",Hama,As-Salamiyeh
139,Eastern Bari,SYR,ADM3,"21,167.47",Hama,As-Salamiyeh
140,As-Saan,SYR,ADM3,"28,583.72",Hama,As-Salamiyeh
141,Oqeirbat,SYR,ADM3,"36,756.06",Hama,As-Salamiyeh
142,Muhradah,SYR,ADM3,"17,099.65",Hama,Muhradah
143,Kafr Zeita,SYR,ADM3,"13,312.97",Hama,Muhradah
144,Karnaz,SYR,ADM3,"5,147.62",Hama,Muhradah
145,Hama,SYR,ADM3,"50,512.62",Hama,Hama
146,Suran,SYR,ADM3,"39,663.97",Aleppo,A'zaz
147,Suran,SYR,ADM3,"39,663.97",Hama,Hama
148,Harbanifse,SYR,ADM3,"6,251.96",Hama,Hama
149,Hamra,SYR,ADM3,"67,781.08",Hama,Hama
150,Masyaf,SYR,ADM3,"6,882.22",Hama,Masyaf
151,Jeb Ramleh,SYR,ADM3,"7,747.05",Hama,Masyaf
152,Oj,SYR,ADM3,"1,490.36",Hama,Masyaf
153,Wadi El-oyoun,SYR,ADM3,103.38,Hama,Masyaf
154,Ein Halaqim,SYR,ADM3,488.59,Hama,Masyaf
155,Ar-Rastan,SYR,ADM3,"6,057.10",Homs,Ar-Rastan
